snapshot,timestamp_unix_ns,elapsed_ms
1,1776397710842578215,7
2,1776397710874117423,39
3,1776397710903739036,69
4,1776397710932289516,97
5,1776397710961406542,126
6,1776397710990241774,155
7,1776397711019202173,184
8,1776397711047901821,213
9,1776397711077235348,242
10,1776397711106398999,271
11,1776397711135064814,300
12,1776397711163348084,328
13,1776397711191965064,357
14,1776397711220991090,386
15,1776397711250033615,415
16,1776397711279134682,444
17,1776397711307995289,473
18,1776397711336660187,501
19,1776397711365922172,531
20,1776397711395266782,560
21,1776397711424679310,589
22,1776397711453751669,619
23,1776397711482845194,648
24,1776397711511689343,677
25,1776397711540440116,705
26,1776397711569308348,734
27,1776397711598612125,763
28,1776397711628570865,793
29,1776397711657708141,823
30,1776397711686780958,852
31,1776397711715732024,881
32,1776397711744902842,910
33,1776397711773716407,939
34,1776397711802943392,968
35,1776397711832771672,998
36,1776397711864032212,1029
37,1776397711894933833,1060
38,1776397711925979579,1091
